20 20
225
2 3
3 1
10 1
2 3
1 2
3 1
6 3
7 1
2 3
1 1
3 2
5 1
5 1
3 2
1 1 
3 2
5 1
5 1
3 2
1 1
4 3
4 3
1 3
6 3
7 1
2 3
1 1
3 2
5 1
5 1
3 2
1 1 
3 2
5 1
5 1
3 2
1 1
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
4 3
1 3
12 14
10 4
8 3
4 3
4 3
4 3
1 3
12 14
10 9
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
4 3
4 3
4 3
1 3
12 14
10 4
8 3
4 3
4 3
4 3
1 3
12 14
10 9
4 3
4 4
8 3
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 14
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
4 3
1 3
12 14
10 4
8 3
4 3
4 3
4 3
1 3
12 14
10 9
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
4 3
4 3
4 3
1 3
12 14
10 14
8 3
4 3
4 3
4 3
1 3
12 14
10 9
4 3
4 4
8 3
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
3 8
5 5
