/*                                        */
/* Formato:                               */
/* wb hb  (ancho y alto de la caja)       */
/* n      (numero de rectangulos)         */
/* w1 h1  (ancho y alto del rectangulo 1) */
/* w2 h2  (ancho y alto del rectangulo 2) */
/* ...                                    */
/* wn hn  (ancho y alto del rectangulo n) */
/*                                        */
10 8
161
6 3
5 4
10 1
5 4
3 2
1 1
3 1
4 6
4 4
8 3
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
6 3
3 3
5 1
10 2
1 8
7 6
10 6
7 2
1 5
7 5
5 5
1 4
10 4
3 7
5 7
1 2
10 2
6 6
5 6
2 3
7 3
7 6
6 6
4 4
3 4
1 3
2 3
9 6
9 6
1 6
2 6
7 5
9 3
9 3
5 6
2 6
9 2
3 8
9 8
5 3
2 3
7 3
3 2
9 2
1 8
1 1
3 6
5 5
5 7
1 5
4 6
4 4
8 3
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
4 6
4 4
8 3
4 3
4 3
4 3
1 3
6 2
2 2
9 2
9 2
3 1
7 1
5 1
2 6
6 8
10 7
6 8
3 1
1 8
